"nombre_pais","region","pbi_inicial","pbi_final","pbi_pc_inicial","pbi_pc_final","pob_inicial","pob_final"
"Afganistán","Asia del Sur",2.26031420279821,2.26694373649188,-0.300121027406746,0.10609280092082,NA,NA
"Albania","Europa y Asia Central",3.90893551362245,4.04592845095348,5.52482598081943,5.66395904797913,1.8,NA
"Alemania","Europa y Asia Central",2.22222216259371,-0.495851897260366,1.40038690062336,-0.769070552658818,0.2,1.3
"American Samoa","Asia Oriental y el Pacífico",-1.67938931297709,1.73501577287065,-0.488137584297121,3.59327606262792,NA,NA
"Andorra","Europa y Asia Central",3.70967806978986,3.37182032638998,3.69962046811506,2.00678445056737,NA,NA
"Angola","África Subsahariana",-1.70053036291208,4.42390664406875,-5.15402904669538,1.29293270746824,51.5,NA
"Antigua y Barbuda","América Latina y el Caribe",4.1203675438061,3.65638765956977,3.47228425039911,3.15232127757128,NA,NA
"Arabia Saudita","Oriente Medio y Norte de África",1.70404739202878,1.99650173436159,-2.03439520588341,-2.61945058525819,NA,NA
"Argelia","Oriente Medio y Norte de África",3.90000000017621,3.69999999907979,1.78594064734014,2.25996527082104,NA,NA
"Argentina","América Latina y el Caribe",-2.08032784377811,-1.34293072157739,-3.02450095578762,-1.68352700528746,1.3,1
"Armenia","Europa y Asia Central",0.199999999825991,5.90000000046228,0.611877151180408,3.48421625230606,2.5,0.8
"Aruba","América Latina y el Caribe",1.23433537363427,6.81077669324542,0.469912651203259,6.1817507755927,NA,NA
"Australia","Asia Oriental y el Pacífico",2.75564065529868,1.37340773365975,1.16312811538609,-0.62779626326919,2.1,NA
"Austria","Europa y Asia Central",2.11721964494312,-0.659089573171372,1.01887723192984,-1.15937778694629,0.7,0.6
"Azerbaiyán","Europa y Asia Central",-3.06359842251706,4.07140205008956,-4.14117487259738,3.5728955022992,NA,NA
"Bahamas (Las)","América Latina y el Caribe",-1.15650811269629,3.37866553336166,-1.84653148444181,2.90387123462988,NA,NA
"Bahrein","Oriente Medio y Norte de África",3.81499327422425,2.60379670648454,-0.0791098754103388,1.85390359869062,NA,NA
"Bangladesh","Asia del Sur",7.11347821270093,4.22325911250161,6.16181560014782,2.96499837954917,25.6,7.4
